Partner,SeniorCitizen,InternetService,PaymentMethod,PaperlessBilling,MonthlyCharges,StreamingMovies,DeviceProtection,Contract,tenure,Dependents,Churn
False,False,DSL,Credit card (automatic),True,49.8,False,False,Month-to-month,1,False,False
False,False,DSL,Bank transfer (automatic),False,54.85,True,True,One year,39,True,False
False,False,DSL,Bank transfer (automatic),False,39.6,False,True,Two year,60,False,False
True,False,DSL,Bank transfer (automatic),False,81.25,True,True,Month-to-month,7,False,False
False,False,Fiber optic,Credit card (automatic),True,96.9,False,True,Month-to-month,23,False,False
False,True,DSL,Mailed check,False,72.1,False,False,One year,54,False,False
False,False,DSL,Mailed check,True,69.5,False,True,Month-to-month,9,False,False
False,False,DSL,Credit card (automatic),True,78.75,True,True,One year,48,True,False
False,True,Fiber optic,Bank transfer (automatic),True,91.3,False,True,One year,46,False,False
True,False,Fiber optic,Credit card (automatic),True,106.1,False,True,Two year,72,True,False
False,False,DSL,Mailed check,False,90.65,True,True,Two year,69,False,False
True,True,Fiber optic,Credit card (automatic),True,95.3,False,True,Month-to-month,57,True,False
False,False,No,Bank transfer (automatic),True,25.25,False,False,Month-to-month,41,False,False
True,False,Fiber optic,Electronic check,True,106.15,True,True,One year,70,True,False
False,False,DSL,Mailed check,True,56.7,False,False,Month-to-month,27,False,False
True,False,DSL,Bank transfer (automatic),True,68.75,True,True,One year,23,False,False
True,False,DSL,Bank transfer (automatic),True,62.15,False,False,One year,35,False,False
True,True,No,Electronic check,False,25.2,False,False,One year,50,False,False
False,False,DSL,Credit card (automatic),True,70.8,False,True,One year,50,True,False
False,False,DSL,Bank transfer (automatic),True,44.6,False,True,Two year,70,False,False
False,False,DSL,Bank transfer (automatic),False,45.05,False,False,One year,55,False,False
True,False,Fiber optic,Electronic check,True,95.15,True,False,Month-to-month,25,False,False
True,False,DSL,Mailed check,True,50.15,False,False,Month-to-month,40,False,False
True,False,Fiber optic,Electronic check,False,94.4,True,True,One year,44,True,False
False,True,Fiber optic,Credit card (automatic),True,73.8,False,False,Month-to-month,53,False,False
True,False,DSL,Electronic check,False,46.3,False,False,Month-to-month,15,True,False
False,True,DSL,Credit card (automatic),False,44.7,False,False,Month-to-month,6,False,False
False,False,Fiber optic,Electronic check,True,70.35,False,False,Month-to-month,1,False,False
True,False,DSL,Mailed check,True,84.8,True,True,One year,24,True,False
True,False,Fiber optic,Bank transfer (automatic),True,109.1,True,True,One year,41,True,False
True,False,Fiber optic,Credit card (automatic),True,102.7,True,False,Month-to-month,52,False,False
False,False,DSL,Mailed check,True,50.0,False,True,Month-to-month,18,False,False
False,False,DSL,Credit card (automatic),False,57.95,False,True,One year,52,False,False
False,False,No,Mailed check,False,19.75,False,False,Two year,16,False,False
False,False,Fiber optic,Credit card (automatic),True,109.2,True,True,One year,49,True,False
True,False,DSL,Electronic check,False,78.4,True,False,One year,24,True,False
True,False,Fiber optic,Credit card (automatic),True,102.45,True,True,One year,64,False,False
False,False,Fiber optic,Credit card (automatic),True,94.8,True,False,Month-to-month,36,False,False
True,False,DSL,Mailed check,False,39.4,False,False,Two year,48,True,False
True,False,No,Mailed check,False,19.9,False,False,Two year,27,True,False
True,False,Fiber optic,Bank transfer (automatic),True,101.05,True,False,Two year,61,False,False
False,False,DSL,Bank transfer (automatic),True,86.95,True,True,One year,47,False,False
True,True,DSL,Bank transfer (automatic),True,85.65,True,True,Two year,56,False,False
False,False,DSL,Bank transfer (automatic),True,61.15,False,True,Two year,66,False,False
False,False,No,Mailed check,False,20.75,False,False,Month-to-month,21,True,False
False,True,Fiber optic,Electronic check,True,99.5,True,True,One year,59,False,False
False,False,DSL,Electronic check,True,47.85,False,False,One year,39,False,False
False,False,DSL,Electronic check,True,45.05,False,False,Month-to-month,12,False,False
True,False,Fiber optic,Credit card (automatic),True,104.15,True,False,Two year,71,False,False
False,False,No,Bank transfer (automatic),False,24.9,False,False,Two year,50,False,False
True,False,No,Credit card (automatic),False,19.8,False,False,One year,30,False,False
False,False,No,Credit card (automatic),True,19.6,False,False,Month-to-month,20,False,False
True,False,DSL,Mailed check,False,54.35,False,False,One year,28,False,False
True,False,No,Bank transfer (automatic),True,20.15,False,False,Month-to-month,1,True,False
True,False,Fiber optic,Credit card (automatic),True,115.15,True,True,Two year,71,False,False
False,False,DSL,Bank transfer (automatic),False,48.95,False,True,Month-to-month,29,False,False
False,False,DSL,Mailed check,True,63.4,True,True,Two year,6,False,False
True,True,DSL,Bank transfer (automatic),False,45.55,False,True,One year,66,False,False
False,True,Fiber optic,Electronic check,True,74.7,False,False,Month-to-month,18,False,False
True,False,DSL,Credit card (automatic),True,53.8,True,True,Two year,72,True,False
True,False,DSL,Mailed check,False,75.8,False,True,Two year,58,True,False
False,False,DSL,Mailed check,True,54.8,False,False,One year,66,False,False
False,True,Fiber optic,Mailed check,True,71.45,False,False,Month-to-month,5,False,False
True,False,Fiber optic,Bank transfer (automatic),False,84.8,False,True,One year,67,True,False
False,False,DSL,Electronic check,True,40.35,True,False,Month-to-month,41,False,False
True,False,Fiber optic,Credit card (automatic),False,100.35,True,True,One year,58,False,False
False,False,DSL,Bank transfer (automatic),True,65.55,True,True,Two year,72,False,False
False,False,Fiber optic,Electronic check,True,74.75,False,False,Month-to-month,2,False,False
True,True,Fiber optic,Electronic check,True,94.95,True,False,Month-to-month,19,False,False
False,False,No,Mailed check,True,19.9,False,False,Month-to-month,10,False,False
True,True,DSL,Bank transfer (automatic),True,63.1,True,True,Two year,72,False,False
True,False,DSL,Credit card (automatic),True,60.0,True,True,Two year,47,True,False
True,False,Fiber optic,Credit card (automatic),True,109.2,True,True,Two year,64,True,False
True,False,Fiber optic,Credit card (automatic),False,109.3,True,True,Two year,71,True,False
True,False,DSL,Credit card (automatic),False,59.45,True,False,One year,55,True,False
False,False,No,Bank transfer (automatic),True,19.85,False,False,One year,51,False,False
False,False,No,Mailed check,True,26.4,False,False,Two year,3,True,False
False,False,No,Credit card (automatic),False,20.05,False,False,One year,11,False,False
False,False,No,Credit card (automatic),True,20.85,False,False,Two year,21,False,False
False,False,Fiber optic,Electronic check,False,85.35,False,False,Month-to-month,34,False,False
False,False,DSL,Bank transfer (automatic),True,60.05,True,False,Two year,69,False,False
True,False,DSL,Bank transfer (automatic),False,80.9,True,True,Two year,61,False,False
False,False,DSL,Credit card (automatic),True,79.85,False,True,Two year,63,False,False
True,False,Fiber optic,Mailed check,True,90.35,True,True,Month-to-month,5,True,False
False,False,DSL,Mailed check,False,69.6,True,False,Month-to-month,19,False,False
False,False,DSL,Mailed check,True,44.4,False,False,Month-to-month,9,False,False
True,True,Fiber optic,Bank transfer (automatic),True,105.1,True,True,One year,52,False,False
True,True,DSL,Electronic check,True,60.0,True,False,Month-to-month,20,False,False
True,False,No,Mailed check,False,23.05,False,False,Two year,52,True,False
True,False,Fiber optic,Electronic check,True,88.05,True,False,Month-to-month,9,False,False
True,False,Fiber optic,Bank transfer (automatic),True,93.3,True,False,Two year,69,True,False
True,False,Fiber optic,Bank transfer (automatic),True,85.4,False,True,Month-to-month,69,False,False
False,False,Fiber optic,Bank transfer (automatic),True,106.6,True,False,One year,67,True,False
True,False,No,Mailed check,False,19.35,False,False,Two year,42,True,False
False,False,Fiber optic,Bank transfer (automatic),False,96.75,True,False,One year,45,False,False
False,False,Fiber optic,Credit card (automatic),True,80.05,False,False,Month-to-month,14,False,False
False,False,Fiber optic,Bank transfer (automatic),False,74.3,False,False,Month-to-month,25,False,False
False,False,No,Bank transfer (automatic),False,20.85,False,False,One year,22,False,False
True,False,DSL,Credit card (automatic),True,66.4,True,True,Month-to-month,31,False,False
True,False,No,Credit card (automatic),False,20.55,False,False,Two year,61,True,False
False,False,DSL,Bank transfer (automatic),True,30.85,False,False,Month-to-month,13,False,False
True,False,DSL,Bank transfer (automatic),False,59.7,True,False,Two year,71,True,False
True,False,No,Mailed check,False,19.35,False,False,Two year,15,True,False
True,False,Fiber optic,Electronic check,True,90.45,True,False,One year,28,True,False
False,False,Fiber optic,Electronic check,True,106.5,False,True,Month-to-month,41,False,False
False,False,No,Mailed check,False,19.95,False,False,Month-to-month,8,True,False
True,False,DSL,Bank transfer (automatic),True,80.45,True,True,Two year,71,False,False
False,False,Fiber optic,Bank transfer (automatic),False,98.05,True,True,Month-to-month,41,False,False
True,False,Fiber optic,Bank transfer (automatic),True,85.5,False,False,One year,68,True,False
True,False,DSL,Credit card (automatic),True,55.5,True,True,Two year,58,True,False
False,False,No,Bank transfer (automatic),True,19.35,False,False,One year,12,False,False
False,False,No,Mailed check,False,19.25,False,False,Month-to-month,2,True,False
False,False,Fiber optic,Electronic check,True,83.55,False,False,Month-to-month,17,False,False
True,True,Fiber optic,Bank transfer (automatic),True,103.15,True,True,One year,65,False,False
True,True,Fiber optic,Electronic check,True,112.4,True,True,Two year,72,False,False
True,False,Fiber optic,Credit card (automatic),True,79.2,False,True,Two year,69,True,False
False,False,No,Electronic check,True,19.8,False,False,One year,37,False,False
True,False,DSL,Bank transfer (automatic),True,64.85,False,False,One year,43,False,False
False,False,Fiber optic,Mailed check,False,89.2,True,True,Month-to-month,61,False,False
True,False,Fiber optic,Credit card (automatic),True,113.65,True,True,Two year,72,False,False
True,False,No,Bank transfer (automatic),False,19.8,False,False,One year,18,True,False
True,False,Fiber optic,Credit card (automatic),True,89.1,False,True,Two year,62,True,False
True,False,DSL,Credit card (automatic),True,69.5,False,False,Month-to-month,23,True,False
False,False,DSL,Credit card (automatic),False,79.85,True,False,One year,17,False,False
False,False,No,Mailed check,False,19.5,False,False,One year,11,False,False
True,False,Fiber optic,Bank transfer (automatic),False,100.7,True,True,Month-to-month,16,True,False
False,False,No,Mailed check,False,19.55,False,False,One year,17,False,False
True,False,DSL,Bank transfer (automatic),True,68.75,True,True,One year,56,True,False
True,False,DSL,Credit card (automatic),True,60.8,True,True,One year,69,False,False
True,False,Fiber optic,Bank transfer (automatic),False,80.75,False,False,Month-to-month,16,False,False
True,False,Fiber optic,Bank transfer (automatic),True,116.6,True,True,Two year,72,True,False
True,False,Fiber optic,Credit card (automatic),True,110.65,True,True,Two year,72,False,False
True,False,DSL,Mailed check,False,67.85,True,True,Two year,67,True,False
True,False,Fiber optic,Bank transfer (automatic),False,104.6,True,False,Two year,67,True,False
False,False,No,Mailed check,False,24.2,False,False,Two year,63,False,False
True,False,DSL,Credit card (automatic),False,54.2,False,True,Two year,67,True,False
True,False,Fiber optic,Electronic check,True,105.2,True,False,One year,54,True,False
True,False,Fiber optic,Electronic check,True,93.8,True,True,One year,31,False,False
False,False,Fiber optic,Mailed check,False,103.85,True,True,Month-to-month,21,False,False
False,False,No,Mailed check,False,24.6,False,False,Two year,53,False,False
True,False,Fiber optic,Mailed check,True,75.0,False,False,Month-to-month,8,False,False
True,False,DSL,Mailed check,True,59.85,False,True,Month-to-month,39,True,False
True,False,No,Bank transfer (automatic),False,24.25,False,False,Month-to-month,33,True,False
True,False,Fiber optic,Electronic check,True,111.05,True,True,Two year,67,False,False
False,False,DSL,Credit card (automatic),True,44.05,False,False,Month-to-month,5,False,False
True,False,Fiber optic,Bank transfer (automatic),True,75.8,False,False,Month-to-month,22,True,False
False,True,DSL,Credit card (automatic),False,74.1,True,True,Two year,69,False,False
True,False,Fiber optic,Credit card (automatic),True,110.1,True,False,Month-to-month,40,True,False
True,False,DSL,Electronic check,False,34.25,False,False,Month-to-month,5,True,False
False,False,No,Mailed check,False,20.0,False,False,Month-to-month,1,False,False
True,True,Fiber optic,Electronic check,False,101.15,True,False,Month-to-month,38,True,False
False,False,Fiber optic,Mailed check,True,100.85,True,False,Month-to-month,4,False,False
True,False,Fiber optic,Electronic check,True,102.55,True,True,Month-to-month,17,False,False
True,False,DSL,Credit card (automatic),True,91.1,True,True,Two year,23,True,False
True,False,Fiber optic,Mailed check,False,103.05,True,True,One year,50,True,False
True,False,No,Mailed check,False,20.0,False,False,One year,43,True,False
False,False,DSL,Credit card (automatic),True,58.6,False,False,One year,39,False,False
True,False,DSL,Bank transfer (automatic),False,55.0,False,False,Month-to-month,46,False,False
False,False,DSL,Bank transfer (automatic),False,64.05,True,True,Month-to-month,11,False,False
True,False,No,Bank transfer (automatic),True,25.25,False,False,Two year,72,False,False
True,False,DSL,Mailed check,False,85.1,True,True,Two year,72,False,False
True,True,Fiber optic,Credit card (automatic),True,107.15,True,True,One year,68,True,False
True,False,DSL,Mailed check,False,34.6,False,False,Two year,23,True,False
True,False,No,Mailed check,False,24.2,False,False,Two year,24,True,False
False,True,Fiber optic,Bank transfer (automatic),False,103.0,True,True,One year,49,False,False
True,False,Fiber optic,Credit card (automatic),False,94.1,False,False,Two year,67,True,False
True,False,DSL,Bank transfer (automatic),False,90.55,True,True,Two year,71,False,False
True,True,Fiber optic,Electronic check,True,99.1,True,True,One year,54,False,False
False,False,No,Mailed check,False,19.25,False,False,Month-to-month,18,False,False
True,True,Fiber optic,Credit card (automatic),False,80.3,False,True,One year,64,False,False
True,False,DSL,Credit card (automatic),False,73.5,False,False,Two year,71,False,False
True,False,DSL,Mailed check,False,54.5,False,False,Month-to-month,42,True,False
True,False,Fiber optic,Bank transfer (automatic),True,83.55,False,False,Month-to-month,30,True,False
False,False,DSL,Credit card (automatic),True,61.2,True,True,Two year,72,False,False
True,True,Fiber optic,Electronic check,True,69.3,False,False,Month-to-month,25,False,False
True,False,DSL,Credit card (automatic),False,35.7,False,False,Two year,67,True,False
True,True,Fiber optic,Bank transfer (automatic),True,86.7,False,True,One year,71,True,False
False,True,DSL,Bank transfer (automatic),True,64.55,False,False,Two year,67,False,False
True,False,DSL,Bank transfer (automatic),True,80.85,False,True,Two year,72,True,False
False,False,Fiber optic,Electronic check,False,94.55,True,False,Month-to-month,12,False,False
False,False,Fiber optic,Credit card (automatic),True,111.95,True,True,Two year,70,False,False
False,False,No,Bank transfer (automatic),False,19.85,False,False,Two year,60,False,False
True,False,Fiber optic,Electronic check,True,104.15,True,False,One year,72,True,False
True,False,DSL,Bank transfer (automatic),False,37.7,False,False,Two year,60,False,False
False,False,DSL,Mailed check,False,46.0,False,False,Month-to-month,10,False,False
False,False,DSL,Bank transfer (automatic),True,79.85,True,True,One year,41,False,False
True,False,Fiber optic,Electronic check,True,79.75,True,False,Month-to-month,9,False,False
True,False,No,Mailed check,False,20.05,False,False,Two year,56,True,False
True,True,No,Mailed check,False,19.6,False,False,One year,37,False,False
False,True,DSL,Electronic check,False,54.9,False,False,Month-to-month,67,False,False
False,False,DSL,Mailed check,True,29.15,False,False,Month-to-month,4,False,False
True,False,DSL,Mailed check,True,58.5,False,False,Month-to-month,4,True,False
True,False,DSL,Electronic check,False,59.8,False,True,One year,39,True,False
False,True,DSL,Bank transfer (automatic),False,64.45,False,True,Month-to-month,28,False,False
False,False,Fiber optic,Electronic check,True,80.35,True,False,Month-to-month,3,False,False
True,False,No,Bank transfer (automatic),False,20.2,False,False,Two year,69,True,False
True,False,No,Bank transfer (automatic),False,20.15,False,False,Two year,40,True,False
False,False,DSL,Bank transfer (automatic),False,31.05,False,False,Two year,36,False,False
False,False,DSL,Credit card (automatic),False,78.65,True,True,Month-to-month,6,False,False
True,False,Fiber optic,Electronic check,True,75.5,False,False,Month-to-month,25,True,False
True,True,Fiber optic,Electronic check,True,113.65,True,True,Two year,70,False,False
True,False,Fiber optic,Bank transfer (automatic),True,108.95,True,True,One year,53,False,False
True,False,Fiber optic,Bank transfer (automatic),True,90.55,False,True,One year,66,False,False
False,False,DSL,Credit card (automatic),True,54.45,False,True,One year,68,False,False
False,False,No,Credit card (automatic),False,19.7,False,False,Month-to-month,17,False,False
True,False,No,Credit card (automatic),False,19.3,False,False,Two year,59,True,False
False,False,DSL,Bank transfer (automatic),False,65.75,True,False,Month-to-month,17,False,False
False,False,DSL,Bank transfer (automatic),True,30.75,False,False,One year,46,False,False
True,False,Fiber optic,Bank transfer (automatic),True,104.45,True,True,One year,41,False,False
True,True,No,Credit card (automatic),False,19.8,False,False,Two year,71,True,False
False,False,DSL,Electronic check,True,53.6,False,True,One year,53,False,False
False,False,No,Mailed check,False,20.2,False,False,Month-to-month,6,False,False
True,False,No,Bank transfer (automatic),False,19.6,False,False,One year,10,False,False
False,False,Fiber optic,Bank transfer (automatic),True,94.4,True,False,One year,30,False,False
True,False,No,Bank transfer (automatic),False,20.6,False,False,One year,44,True,False
True,True,Fiber optic,Electronic check,True,70.2,False,False,Month-to-month,4,False,False
True,True,No,Bank transfer (automatic),True,24.4,False,False,Two year,64,True,False
True,False,Fiber optic,Electronic check,True,95.25,True,False,Month-to-month,37,True,False
False,False,Fiber optic,Electronic check,False,87.6,False,True,Month-to-month,31,False,False
False,False,Fiber optic,Electronic check,True,92.05,False,True,One year,62,False,False
False,False,DSL,Bank transfer (automatic),False,50.55,False,False,Two year,67,False,False
True,False,No,Credit card (automatic),True,19.8,False,False,Two year,72,True,False
False,False,Fiber optic,Bank transfer (automatic),False,69.15,False,False,Month-to-month,7,False,False
False,False,No,Credit card (automatic),False,20.35,False,False,Month-to-month,5,True,False
False,False,No,Mailed check,False,19.9,False,False,Month-to-month,14,False,False
True,False,DSL,Bank transfer (automatic),False,68.25,True,False,Two year,16,True,False
True,False,Fiber optic,Electronic check,True,101.35,True,True,One year,72,False,False
True,False,DSL,Credit card (automatic),True,82.0,True,True,Two year,71,True,False
True,False,No,Bank transfer (automatic),False,19.9,False,False,Two year,71,True,False
False,True,No,Credit card (automatic),True,20.0,False,False,Two year,68,False,False
True,False,DSL,Bank transfer (automatic),True,54.2,False,False,Two year,67,True,False
True,True,Fiber optic,Electronic check,True,94.25,True,True,Month-to-month,64,False,False
True,True,Fiber optic,Bank transfer (automatic),True,70.95,False,False,One year,65,False,False
True,False,Fiber optic,Credit card (automatic),False,111.75,True,True,Two year,68,True,False
False,False,DSL,Mailed check,False,60.9,False,True,Month-to-month,6,False,False
True,False,DSL,Credit card (automatic),True,65.25,True,True,Two year,72,True,False
True,False,Fiber optic,Electronic check,True,89.1,True,False,Month-to-month,19,False,False
True,False,Fiber optic,Bank transfer (automatic),False,78.95,True,False,One year,26,True,False
True,False,No,Credit card (automatic),False,19.85,False,False,Month-to-month,6,True,False
False,False,Fiber optic,Mailed check,False,107.95,True,True,Month-to-month,3,False,False
True,False,Fiber optic,Bank transfer (automatic),True,99.0,True,True,Two year,64,False,False
False,False,No,Mailed check,True,20.55,False,False,Month-to-month,10,False,False
False,False,DSL,Electronic check,False,49.15,True,True,Month-to-month,13,False,False
True,True,Fiber optic,Bank transfer (automatic),False,98.35,True,False,Two year,72,False,False
True,False,No,Mailed check,True,23.6,False,False,Month-to-month,3,False,False
True,False,No,Electronic check,False,20.15,False,False,Month-to-month,16,True,False
True,False,DSL,Credit card (automatic),False,66.75,False,False,Two year,72,True,False
True,False,Fiber optic,Electronic check,True,94.65,False,True,One year,46,False,False
True,False,DSL,Credit card (automatic),False,63.7,True,False,One year,42,True,False
True,True,DSL,Bank transfer (automatic),False,29.8,False,False,Month-to-month,7,False,False
True,False,No,Credit card (automatic),False,25.85,False,False,Two year,72,False,False
True,False,DSL,Electronic check,True,49.15,False,False,Month-to-month,6,True,False
True,False,DSL,Bank transfer (automatic),False,55.9,False,False,One year,68,False,False
False,False,No,Electronic check,False,25.0,False,False,Month-to-month,12,False,False
False,False,Fiber optic,Electronic check,False,105.3,True,True,Month-to-month,5,False,False
False,False,Fiber optic,Mailed check,True,78.0,False,True,Month-to-month,11,True,False
True,False,DSL,Bank transfer (automatic),True,90.95,True,True,Two year,72,False,False
True,False,No,Mailed check,False,25.45,False,False,Two year,59,True,False
False,False,Fiber optic,Electronic check,True,89.05,True,False,Month-to-month,22,False,False
True,False,Fiber optic,Electronic check,False,109.3,True,True,Two year,65,True,False
False,False,DSL,Mailed check,True,64.5,True,False,Month-to-month,30,False,False
False,False,Fiber optic,Electronic check,True,86.9,False,False,One year,57,False,False
False,False,Fiber optic,Electronic check,True,89.15,True,False,Month-to-month,12,False,False
False,False,DSL,Credit card (automatic),True,51.55,False,False,One year,26,False,False
False,False,No,Bank transfer (automatic),False,19.95,False,False,Two year,67,False,False
True,False,DSL,Electronic check,True,82.55,True,True,Two year,71,False,False
True,False,DSL,Credit card (automatic),True,73.0,False,True,One year,68,True,False
True,False,No,Electronic check,False,19.8,False,False,Two year,50,False,False
True,False,Fiber optic,Credit card (automatic),True,110.9,True,True,Two year,72,False,False
False,False,DSL,Credit card (automatic),True,81.8,True,True,Two year,56,False,False
False,False,DSL,Mailed check,False,53.15,False,True,Two year,21,True,False
False,False,DSL,Bank transfer (automatic),False,50.05,False,False,One year,41,False,False
False,False,DSL,Bank transfer (automatic),True,88.8,True,True,One year,67,False,False
False,False,DSL,Credit card (automatic),True,71.0,True,False,One year,29,False,False
False,False,No,Bank transfer (automatic),False,19.1,False,False,One year,55,True,False
True,False,Fiber optic,Bank transfer (automatic),False,109.25,True,True,Two year,66,True,False
False,False,DSL,Credit card (automatic),True,60.25,False,True,One year,56,False,False
False,False,DSL,Electronic check,True,61.1,True,True,One year,53,False,False
False,False,DSL,Bank transfer (automatic),False,68.7,True,False,One year,59,False,False
False,True,No,Bank transfer (automatic),False,25.4,False,False,Two year,72,False,False
True,False,No,Credit card (automatic),False,20.55,False,False,Two year,50,True,False
False,False,No,Credit card (automatic),False,19.8,False,False,Month-to-month,1,False,False
False,False,No,Mailed check,False,19.95,False,False,One year,4,False,False
True,False,DSL,Mailed check,True,56.35,False,False,One year,43,False,False
False,True,DSL,Credit card (automatic),True,69.1,False,True,Two year,30,False,False
True,False,DSL,Electronic check,True,90.15,True,True,One year,55,False,False
True,False,No,Bank transfer (automatic),False,24.65,False,False,Two year,67,True,False
False,False,DSL,Credit card (automatic),False,54.15,False,True,Two year,59,False,False
True,False,DSL,Credit card (automatic),True,65.25,False,False,Month-to-month,58,False,False
True,False,DSL,Electronic check,True,74.35,True,True,Two year,72,True,False
False,False,Fiber optic,Electronic check,True,85.2,False,True,One year,26,False,False
True,False,DSL,Mailed check,False,50.2,False,False,Month-to-month,43,True,False
False,False,No,Mailed check,False,20.75,False,False,Month-to-month,1,True,False
True,False,DSL,Mailed check,True,69.55,True,False,Two year,65,True,False
False,False,DSL,Electronic check,False,54.15,False,False,Month-to-month,23,True,False
False,True,Fiber optic,Electronic check,True,90.05,True,False,Month-to-month,54,False,False
False,False,DSL,Electronic check,False,61.4,False,True,Month-to-month,7,False,False
False,False,DSL,Electronic check,True,51.7,True,False,Month-to-month,59,False,False
False,True,Fiber optic,Credit card (automatic),True,103.75,True,True,One year,40,False,False
False,False,Fiber optic,Electronic check,False,74.35,False,False,Month-to-month,1,False,False
False,False,Fiber optic,Bank transfer (automatic),True,103.65,True,True,Month-to-month,45,False,False
False,False,Fiber optic,Bank transfer (automatic),False,106.7,True,True,Two year,71,True,False
True,False,DSL,Mailed check,False,50.7,False,False,Month-to-month,7,True,False
False,False,Fiber optic,Credit card (automatic),True,116.6,True,True,One year,60,False,False
False,False,No,Credit card (automatic),False,19.45,False,False,One year,49,True,False
False,False,Fiber optic,Mailed check,True,86.0,False,False,Month-to-month,14,True,False
